source_id,scheme_tag,min_sip,min_lumpsum,exit_load,lock_in,expense_ratio,benchmark,riskometer,source_url,last_fetched_date
amc_largecap_overview,LARGE_CAP,₹100,,1.00%,,,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-cap-fund/direct,11/17/2025
amc_largecap_sid,LARGE_CAP,₹100,,1.00%,,,,,https://files.hdfcfund.com/s3fs-public/SID/2025-05/SID%20-%20HDFC%20Large%20Cap%20Fund%20dated%20May%2030%2C%202025.pdf?_gl=1*1yej8bj*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5MTYkajYwJGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5MTYkajYwJGwwJGgw,11/17/2025
amc_largecap_kim,LARGE_CAP,,,1.00%,,,,,https://files.hdfcfund.com/s3fs-public/KIM/2025-05/KIM%20-%20HDFC%20Large%20Cap%20Fund%20dated%20May%2030%2C%202025.pdf?_gl=1*1xbidwo*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwMjMkajIyJGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwMjMkajIyJGwwJGgw,11/17/2025
amc_flexicap_overview,FLEXI_CAP,₹100,,1.00%,,,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,11/17/2025
amc_flexicap_sid,FLEXI_CAP,₹100,,1.00%,,,,,https://files.hdfcfund.com/s3fs-public/SID/2025-05/SID%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20May%2030%2C%202025.pdf?_gl=1*1wxvbbf*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5MzIkajQ0JGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5MzIkajQ0JGwwJGgw,11/17/2025
amc_flexicap_kim,FLEXI_CAP,,,1.00%,,,,,https://files.hdfcfund.com/s3fs-public/KIM/2025-05/KIM%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20May%2030%2C%202025.pdf?_gl=1*h9tr86*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwMjkkajE2JGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwMjkkajE2JGwwJGgw,11/17/2025
amc_elss_overview,ELSS,,,,3 years,,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,11/17/2025
amc_elss_sid,ELSS,,,1%,3 years,,,,https://files.hdfcfund.com/s3fs-public/SID/2025-05/SID%20-%20HDFC%20ELSS%20Tax%20saver%20dated%20May%2030%2C%202025_0.pdf?_gl=1*1u4eu96*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5NDckajI5JGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzM5NDckajI5JGwwJGgw,11/17/2025
amc_elss_kim,ELSS,,,Nil,3 years,,,,https://files.hdfcfund.com/s3fs-public/KIM/2025-05/KIM%20-%20HDFC%20ELSS%20Tax%20saver%20dated%20May%2030%2C%202025.pdf?_gl=1*7krkp3*_gcl_au*ODExODUxNDkwLjE3NjMzNzM1NzM.*_ga*MTg0MzM0MzcyMi4xNzYzMzczNTc0*_ga_9LSHX42J16*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwNDYkajYwJGwwJGgw*_ga_B8ZVKN0MJ4*czE3NjMzNzM1NzMkbzEkZzEkdDE3NjMzNzQwNDYkajYwJGwwJGgww,11/17/2025
amc_hybrid_overview,HYBRID,₹100,,1.00%,,,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-hybrid-equity-fund/direct,11/17/2025
